name,sku,subtitle,category1,category2,category3,image,ribbon,ribbonColor,weight,price,recommended_price,quantity,enabled,taxClassCode,shipping_freight,fixed_shipping_rate_only,shippingType,shippingMethodMarkup,shippingFlatRate,shippingDisabledMethods,shippingEnabledMethods,upc,brand,seo_title,seo_description,product_url,product_id
Fluvium Chest Guard | White & Blue,23368,,Fight Gear / Boxing,Fight Gear / MMA,,https://d2j6dbq0eux0bg.cloudfront.net/images/14404144/4082891140.jpg,,,0,5750,,5,yes,default,0,no,GLOBAL_METHODS,0,0,,,,,,,https://fluviumwear.com/#!/Fluvium-Chest-Guard-White-&-Blue/p/623034504,623034504
Fluvium Combat Rucksack | 45L & 30L,43,,Fight Gear / MMA,Fight Gear / Jiu Jitsu,Fight Gear,https://d2j6dbq0eux0bg.cloudfront.net/images/14404144/1229519773.jpg,,,0,3595,,10,yes,default,0,no,GLOBAL_METHODS,0,0,,,,,,"The Fluvium Combat Rucksack (50L Backpack) is developed and designed by passionate artists in the hope of awakening the artist in you. Whether you choose to carry the backpack to train jiu jitsu, MMA, surf or even head to the gym to lift some weights, we hope you are inspired to step outside your comfort zone to try new moves, techniques or use new methods.",https://fluviumwear.com/#!/Fluvium-Combat-Rucksack-45L-&-30L/p/161079319,161079319
Fluvium Competition Shorts | MMA & Grappling,15,,Fight Gear / Jiu Jitsu / No Gi,Surf Gear,Fight Gear / MMA,https://d2j6dbq0eux0bg.cloudfront.net/images/14404144/1106876002.jpg,,,0,1995,,17,no,default,0,no,GLOBAL_METHODS,0,0,,,,,,"No Competition No Progress. The Fluvium Competition Series Shorts is designed for the high-performance athlete in all of us. T he competition series is built to never fail you during the most rigorous training sessions and competitions. No matter how hard you work, these shorts are meant to last long leaving a strong impression.",https://fluviumwear.com/#!/Fluvium-Competition-Shorts-MMA-&-Grappling/p/143957924,143957924
"Fluvium Crash/Throwing Mats | 78"" x 50"" x 100mm",23288,,Sports Mats,,,https://d2j6dbq0eux0bg.cloudfront.net/images/14404144/2313119624.jpg,,,0,18000,,,yes,default,0,no,GLOBAL_METHODS,0,0,,,,,,,https://fluviumwear.com/#!/Fluvium-Crash-Throwing-Mats-78-x-50-x-100mm/p/360863961,360863961
Fluvium Crew Neck DTLF Bamboo Tees,23276,,Apparel,Fight Gear / Jiu Jitsu / No Gi,,https://d2j6dbq0eux0bg.cloudfront.net/images/14404144/1949629018.jpg,,,0,899,,,yes,default,0,no,GLOBAL_METHODS,0,0,,,,,Fluvium Crew Neck DTLF Bamboo Tees,"De tails The Fluvium Crew Neck DTLF Bamboo Tee is developed considering the environment in mind. Made from premium quality bamboo cotton provides a silk like softness. Combined with the anti-odour, anti-bacterial and sweat absorbent properties that bamboo provides Fluvium Crew Neck DTLF Bamboo Tee can really be your perfect lounge or daily wear. Features SILK-LIKE SOFTNESS Bamboo cotton is ...",https://fluviumwear.com/#!/Fluvium-Crew-Neck-DTLF-Bamboo-Tees/p/258243217,258243217
"Fluvium Crisp White Leather Muay Thai, MMA & Kick Boxing Shin Guards",26,,Fight Gear / MMA,,,https://d2j6dbq0eux0bg.cloudfront.net/images/14404144/1207934136.jpg,,,0,4495,,5,yes,default,0,no,GLOBAL_METHODS,0,0,,,,,"Fluvium Crisp White Leather Muay Thai, MMA & Kick Boxing Shin Guards","The Fluvium Crisp White Leather Shin Guards provide maximum protection of the shin & ankle, even during your most powerful kicks, with a high density foam and specific reinforcements placed at each joint. The Fluvium Crisp White Leather Shin Pads have a Velcro closure system that provides superior wrist support maximizing the power of strikes and prevention of injuries.",https://fluviumwear.com/#!/Fluvium-Crisp-White-Leather-Muay-Thai-MMA-&-Kick-Boxing-Shin-Guards/p/156271124,156271124
"Fluvium Crisp White Leather Muay Thai, MMA & Kick Boxing Shin Guards | Thrift Shop",23266,,Thrift Shop,,,https://d2j6dbq0eux0bg.cloudfront.net/images/14404144/1555975196.jpg,,,0,2795,,0,no,default,0,no,GLOBAL_METHODS,0,0,,,,,,,https://fluviumwear.com/#!/Fluvium-Crisp-White-Leather-Muay-Thai-MMA-&-Kick-Boxing-Shin-Guards-Thrift-Shop/p/221822893,221822893
Fluvium Crisp White Professional Buffalo Leather (Christmas Edition) Boxing Gloves | 12Oz & 14Oz,23329,,Fight Gear / Boxing,Fight Gear / MMA,,https://d2j6dbq0eux0bg.cloudfront.net/images/14404144/3353794558.jpg,,,0,3795,,15,yes,default,0,no,GLOBAL_METHODS,0,0,,,,,,,https://fluviumwear.com/#!/Fluvium-Crisp-White-Professional-Buffalo-Leather-Christmas-Edition-Boxing-Gloves-12Oz-&-14Oz/p/513689041,513689041
Fluvium Crisp White Professional Buffalo Leather Boxing Gloves | 12Oz & 14Oz,23315,,Fight Gear / Boxing,Fight Gear / MMA,,https://d2j6dbq0eux0bg.cloudfront.net/images/14404144/2883338184.jpg,,,0,3795,,3,yes,default,0,no,GLOBAL_METHODS,0,0,,,,,,,https://fluviumwear.com/#!/Fluvium-Crisp-White-Professional-Buffalo-Leather-Boxing-Gloves-12Oz-&-14Oz/p/436123802,436123802
Fluvium Elite Leather Sparring Legacy Set | Shin Pads & MMA Gloves,23311,,Legacy Series,Fight Gear / MMA,,https://d2j6dbq0eux0bg.cloudfront.net/images/14404144/2759706164.jpg,,,0,5995,,0,no,default,0,no,GLOBAL_METHODS,0,0,,,,,,"The Fluvium Pro Leather Grappling Gloves provide maximum protection of the hand, even during your most powerful punches, with a high density foam and specific reinforcements placed on each finger. The Fluvium Pro Leather Grappling Gloves have a Velcro closure system that provides superior wrist support maximizing the power of strikes and prevention of injuries.",https://fluviumwear.com/#!/Fluvium-Elite-Leather-Sparring-Legacy-Set-Shin-Pads-&-MMA-Gloves/p/420800648,420800648
Fluvium Elite Leather Sparring MMA Gloves,55,,Fight Gear / MMA,,,https://d2j6dbq0eux0bg.cloudfront.net/images/14404144/1956474637.jpg,,,0,2395,,9,yes,default,0,no,GLOBAL_METHODS,0,0,,,,,,"The Fluvium Pro Leather Grappling Gloves provide maximum protection of the hand, even during your most powerful punches, with a high density foam and specific reinforcements placed on each finger. The Fluvium Pro Leather Grappling Gloves have a Velcro closure system that provides superior wrist support maximizing the power of strikes and prevention of injuries.",https://fluviumwear.com/#!/Fluvium-Elite-Leather-Sparring-MMA-Gloves/p/202305189,202305189
Fluvium Elite Leather Sparring MMA Gloves | Legacy Series,23307,,Legacy Series,Fight Gear / MMA,,https://d2j6dbq0eux0bg.cloudfront.net/images/14404144/2759700299.jpg,,,0,2395,,0,no,default,0,no,GLOBAL_METHODS,0,0,,,,,,"The Fluvium Pro Leather Grappling Gloves provide maximum protection of the hand, even during your most powerful punches, with a high density foam and specific reinforcements placed on each finger. The Fluvium Pro Leather Grappling Gloves have a Velcro closure system that provides superior wrist support maximizing the power of strikes and prevention of injuries.",https://fluviumwear.com/#!/Fluvium-Elite-Leather-Sparring-MMA-Gloves-Legacy-Series/p/420783961,420783961
Fluvium Elite Leather Sparring MMA Gloves | Thrift Shop,23265,,Thrift Shop,,,https://d2j6dbq0eux0bg.cloudfront.net/images/14404144/1956474676.jpg,,,0,1450,,0,no,default,0,no,GLOBAL_METHODS,0,0,,,,,Fluvium Elite Leather Sparring MMA Gloves | Thrift Shop,"Details The Fluvium Elite Sparring MMA Training Gloves   has been designed to allow grappling & striking in the same  training session without changing gloves. Used for sparring, mitt work,  and ground and pound. Features Multiple layers of shock dispersing foam. Original Bull leather construction…",https://fluviumwear.com/#!/Fluvium-Elite-Leather-Sparring-MMA-Gloves-Thrift-Shop/p/221849476,221849476
