name,slug,optionValue,variantSku,description,variantPrice,variantTaxCategory,variantStockOnHand,variantTrackInventory,assets,channelCode,category,subcategory,brand
Aachi Sambar Powder,aachi-sambar-powder,500gm,AAC028,"<div><p>Aachi Sambar Powder is a necessary ingredient to make Sambar, well-liked south Indian gravy. Sambar is generally eaten with rice, Idly and vadas.<br></p></div><div><ul><li>Ingredients: Coriander, Red Chilies, Cumin, Fenugreek, Asafoetida, Turmeric, Curry leaves.</li><li>Keep it in a airtight container to retain the aroma.</li></ul></div>",180,GST5,0,TRUE,aachi-sambar-powder-500g.jpg,stalks-n-spice,"Herbs, Spices & Provisions",Powdered Spices,Aachi
"Aachi Super Garam Masala, pouch","aachi-super-garam-masala,-pouch",200gm,AAC029,<p><strong>Garam masala</strong> is a multipurpose spice that helps promote health in almost all aspects of our body</p>,55,GST5,0,TRUE,aachi-super-garam-masala-pouch-200gm.jpg,stalks-n-spice,"Herbs, Spices & Provisions",Powdered Spices,Aachi
Aachi Turmeric Powder,aachi-turmeric-powder,1kg,AAC030,"<p>Aachi Turmeric Powder is choose from the field, processed ,powdered and packed hygienically. The Packing is tamper proof that helps to increase the shelf life and keep the aroma for long time.</p><ul><li>This is Vegetarian product.</li><li>used in dishes and also a home medicine .</li></ul><p><span></span></p>",200,GST5,0,TRUE,aachi-turmeric-powder-1-kg.jpg,stalks-n-spice,"Herbs, Spices & Provisions",Powdered Spices,Aachi
Aachi Turmeric Powder,aachi-turmeric-powder,500gm,AAC031,"<ul><li>Aachi Turmeric powder has a spicy flavor and aroma with a hint of wood, ginger and orange.</li></ul>",99,GST5,0,TRUE,aachi-turmeric-powder-500gm.jpg,stalks-n-spice,"Herbs, Spices & Provisions",Powdered Spices,Aachi
Aashirvaad Whole Wheat Atta,aashirvaad-whole-wheat-atta,10kg,AAS032,"<ul><li> Aashirvaad Superior MP Atta is made using the 4-step advantage process 
which ensures 100% pure and natural whole wheat atta and retention of 
its natural dietary fibres and nutrients

</li><li> Sourced directly from the farmers, Aashirvaad Superior MP Atta ensures 
that the flour is not tampered thereby maintaining the high quality

</li><li> The essential nutrition remains locked in the whole wheat atta which helps in easy digestion and supporting immunity

</li><li> The revolutionary mechanised packaging ensures that the atta remains untouched by hands, thereby making it safe

</li><li> The dough made from Aashirvaad Superior MP Atta absorbs more water 
making the rotis soft, fluffy and delicious which helps you power 
through the day

</li><li> Indiaâ€™s No.1 Atta, Aashirvaad Superior MP Atta is Made with love in India

</li></ul>",399,GST5,0,TRUE,aashirvaad-whole-wheat-atta-10kg.jpg,stalks-n-spice,"Herbs, Spices & Provisions","Grains, Flour & Sooji",Aashirvaad
Abbie's Apple Cider Vinegar,abbie's-apple-cider-vinegar,473ml,ABB033,"<p>Apple Cider Vinegar can be used for numerous applications </p><ul><li><span class=""a-list-item"">For daily use</span></li><li><span class=""a-list-item""></span>Perfect to use in saladsâ€™ dressings</li><li><span class=""a-list-item"">Made in USA</span></li></ul>",165,GST18,0,TRUE,abbie's-apple-cider-vinegar-473-ml.jpg,stalks-n-spice,Health Store,Apple Cider Vinegar,Abbie's
Abbie's Barbeque Sauce Original,abbie's-barbeque-sauce-original,500ml,ABB034,"<p>Abbie's Original BBQ Sauce uses an authentic American recipe to ensure the best taste for any backyard barbecue. Enjoy This barbecue sauce is perfect for all your favorite foods whether cooking on the grill or in the kitchen. </p><ul><li><span class=""a-list-item"">Produced & Packed in the USA</span></li><li><span class=""a-list-item"">Sweet and Tangy BBQ Sauce</span></li><li><span class=""a-list-item"">Provides the best taste for any backyard BBQ</span></li><li><span class=""a-list-item"">Available in Original and Hot variants</span></li><li><span class=""a-list-item"">marinade for your chicken and meats before laying them on your grill, or try it as a dip on the side of your favorite appetizers.<br></span></li><li><span class=""a-list-item"">Net Weight: 510g (each unit)</span></li></ul>",190,GST5,0,TRUE,abbie's-barbeque-sauce-original-500ml.jpg,stalks-n-spice,Sauces & Pastes,"Barbeque, Garlic & Mustard Sauce",Abbie's
Abbie's Chick Peas In Brine,abbie's-chick-peas-in-brine,400gm,ABB035,<p>Abbie's Chick peas is also known as garbanzo beans. It is cooked and preserved in brine. </p><ul><li>Ready to use.</li><li><div><div>This is a Vegetarian product.</div></div></li><li>It is used in a sauteed vegetables for gives a flavor</li></ul>,85,GST5,0,TRUE,abbie's-chick-peas-in-brine-400gm.jpg,stalks-n-spice,"Breakfast, Dairy & Frozen Food","Beans,Corn & Peas",Abbie's
Abbie's Extra Virgin Olive Oil,abbie's-extra-virgin-olive-oil,1L,ABB036,"<p>Abbie's Extra Virgin Olive Oil is obtained from a balanced blend of refined Olive. light in taste, its proven resistance to high temperatures makes it particularly suitable for frying, sautÃ©ing, and even baking while maintaining its delicate aroma and nutritional characteristics.</p><ul><li><span class=""a-list-item"">Packed in Italy</span></li><li><span class=""a-list-item"">Suitable for Salads, Dressing Meat, Fish and Vegetables, and for Cooking Sauces, Soups, and Side Dish</span></li><li>Abbie's provides Extra Virgin Olive Oil and Pomace Olive Oil for different cooking needs</li></ul>",725,GST5,0,TRUE,abbie's-extra-virgin-olive-oil-1-lt.jpg,stalks-n-spice,Oils & Ghee,Olive & Almond Oil,Abbie's
Abbie's Extra Virgin Olive Oil,abbie's-extra-virgin-olive-oil,5L,ABB037,"<p>Abbie's Extra Virgin Olive Oil is obtained from a balanced blend of refined Olive. light in taste, its proven resistance to high temperatures makes it particularly suitable for frying, sautÃ©ing, and even baking while maintaining its delicate aroma and nutritional characteristics.</p><ul><li><span class=""a-list-item"">Packed in Italy</span></li><li><span class=""a-list-item"">Suitable for Salads, Dressing Meat, Fish and Vegetables, and for Cooking Sauces, Soups, and Side Dish</span></li><li>Abbie's provides Extra Virgin Olive Oil and Pomace Olive Oil for different cooking needs</li></ul>","3,100.00",GST5,0,TRUE,abbie's-extra-virgin-olive-oil-5-lt.jpg,stalks-n-spice,Oils & Ghee,Olive & Almond Oil,Abbie's
